Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9905210733413696,"(101.24614715576172, 221.4933319091797, 67.32059478759766, 68.72205352783203)",105
b'car',0.9289003610610962,"(202.8236846923828, 205.97457885742188, 27.006717681884766, 33.410152435302734)",105
b'car',0.9260416030883789,"(68.38903045654297, 91.87803649902344, 19.44384002685547, 24.19843101501465)",105
b'car',0.9979996681213379,"(110.27096557617188, 222.02886962890625, 64.0157470703125, 63.49066925048828)",110
b'car',0.9686753153800964,"(202.43202209472656, 210.6387939453125, 27.02935218811035, 39.666221618652344)",110
b'car',0.9525668621063232,"(67.6875991821289, 90.77812957763672, 21.048816680908203, 25.894105911254883)",110
b'car',0.9977126121520996,"(117.37117767333984, 221.0225830078125, 58.26271438598633, 60.015174865722656)",115
b'car',0.9706058502197266,"(201.4613494873047, 211.86485290527344, 28.380863189697266, 40.81957244873047)",115
b'car',0.9451861381530762,"(67.71900177001953, 91.32408905029297, 21.039505004882812, 26.63749885559082)",115
b'car',0.9988362193107605,"(123.39393615722656, 214.40780639648438, 54.5593147277832, 48.18398666381836)",120
b'car',0.9630692601203918,"(200.38958740234375, 210.03359985351562, 30.73610496520996, 38.38493347167969)",120
b'car',0.9986821413040161,"(129.35629272460938, 214.91798400878906, 52.590152740478516, 47.45222473144531)",125
b'car',0.9717652797698975,"(200.04904174804688, 212.8340606689453, 32.9838981628418, 42.61241912841797)",125
b'car',0.9985114932060242,"(135.43072509765625, 213.4130096435547, 49.20075988769531, 41.295753479003906)",130
b'car',0.9790782332420349,"(200.0216522216797, 215.07339477539062, 37.38300704956055, 48.149192810058594)",130
b'car',0.9990529417991638,"(140.40187072753906, 211.80601501464844, 47.12519073486328, 39.82185745239258)",135
b'car',0.9798930883407593,"(198.62533569335938, 216.81129455566406, 40.61800003051758, 53.07166290283203)",135
b'car',0.9983651638031006,"(144.8568115234375, 210.53611755371094, 43.32491683959961, 40.18456268310547)",140
b'car',0.9799569249153137,"(198.2875518798828, 218.98484802246094, 44.48520278930664, 57.6046028137207)",140
b'traffic light',0.8012282252311707,"(302.9863586425781, 172.14915466308594, 6.635998725891113, 22.691316604614258)",140
b'car',0.9962079524993896,"(148.80496215820312, 206.9678955078125, 43.58109664916992, 37.90824508666992)",145
b'car',0.9769684076309204,"(196.73582458496094, 226.1237030029297, 54.406028747558594, 78.1503677368164)",145
b'car',0.787725567817688,"(49.71406173706055, 222.00836181640625, 55.678306579589844, 49.469268798828125)",145
b'car',0.9947906732559204,"(194.19122314453125, 230.25595092773438, 64.61082458496094, 95.84071350097656)",150
b'car',0.9912998080253601,"(152.94886779785156, 204.06491088867188, 36.27700424194336, 34.134620666503906)",150
b'car',0.7372861504554749,"(68.5024642944336, 218.1195068359375, 46.47755432128906, 41.578800201416016)",150
b'traffic light',0.7218667268753052,"(294.8204650878906, 172.53445434570312, 6.5586838722229, 18.953765869140625)",150
b'car',0.9968163371086121,"(196.4408721923828, 237.49209594726562, 94.84306335449219, 93.95809173583984)",155
b'car',0.9863917231559753,"(154.0341033935547, 202.9614715576172, 30.732589721679688, 33.25428771972656)",155
b'car',0.9792428016662598,"(85.47306823730469, 213.55950927734375, 42.75419998168945, 32.35454559326172)",155
b'car',0.981362521648407,"(188.90769958496094, 248.23414611816406, 105.02054595947266, 137.1103973388672)",160
b'car',0.9184225797653198,"(97.90633392333984, 209.65452575683594, 34.36626434326172, 29.856884002685547)",160
b'car',0.9709759950637817,"(169.580322265625, 294.33758544921875, 173.7237548828125, 219.95704650878906)",165
b'car',0.967142641544342,"(109.12357330322266, 206.73648071289062, 32.456214904785156, 28.38177490234375)",165
b'car',0.9414154291152954,"(201.10606384277344, 282.1533508300781, 380.0434265136719, 227.39442443847656)",170
b'traffic light',0.792469322681427,"(286.04241943359375, 171.54299926757812, 7.0569844245910645, 18.86133575439453)",170
b'car',0.851494312286377,"(211.54144287109375, 295.1831359863281, 386.4812316894531, 231.5845947265625)",175
b'car',0.841788649559021,"(374.82489013671875, 195.0157928466797, 24.756118774414062, 27.312522888183594)",175
b'car',0.7770164012908936,"(376.77752685546875, 205.3559112548828, 26.10975456237793, 24.269689559936523)",180
b'car',0.8490157723426819,"(371.5152587890625, 201.76268005371094, 18.827510833740234, 24.507247924804688)",185
b'car',0.8299241662025452,"(84.65997314453125, 108.97906494140625, 49.360687255859375, 41.58624267578125)",185
b'car',0.7639385461807251,"(178.56077575683594, 282.83380126953125, 330.2435607910156, 225.9736328125)",185
b'car',0.9482205510139465,"(85.24043273925781, 109.09044647216797, 47.29801559448242, 41.94952392578125)",190
b'car',0.9269811511039734,"(361.19146728515625, 203.00291442871094, 31.299610137939453, 25.02233123779297)",190
b'car',0.818639874458313,"(178.85321044921875, 282.69305419921875, 336.07537841796875, 225.85191345214844)",190
